"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	111.938723097345	111.913667109145	42.9322193465508	27.3317955468457	36.6676999989377	6.34336283185841	3390	0.067562181122449
"3"	20	111.90715965201	112.047401246179	45.7401994348673	27.9442614798854	37.5563185497542	5.52739242887374	4253	0.0847616390306122
"4"	30	111.926111649505	111.989814718353	47.0203721726722	28.7099899079754	38.454981528994	5.09024833434282	4953	0.0987125318877551
"5"	40	112.014865713772	112.124523049263	48.7059231932808	29.6144869308652	39.7190405603939	4.86695433297375	5562	0.110849808673469
"6"	50	112.042129266699	112.096572627797	51.0283132273553	30.5559745627413	40.9948287277177	4.74603952310959	6123	0.122030452806122
"7"	60	112.14816783091	112.107370394244	53.3665127279324	31.5750653616368	42.3859754743836	4.6388847249288	6671	0.132952008928571
"8"	70	112.217395467857	112.184785636592	55.2161111035681	32.5806155311768	43.7837470737467	4.59824292288384	7171	0.142916932397959
"9"	80	112.243339676325	112.347259866875	55.9125262115333	33.5537118338041	45.077426814397	4.56773688332028	7662	0.152702487244898
"10"	90	112.358920957499	112.197631765999	58.0425115897843	34.6173673778811	46.5834798036496	4.55691255495848	8188	0.163185586734694
"11"	100	112.30314339192	112.201922814426	60.0427390450932	35.733497939887	48.0216564876304	4.51586395800046	8762	0.174625318877551
"12"	110	112.351634798417	112.077911089723	62.1816242697036	36.8798759028494	49.5159254969074	4.49834242327024	9351	0.18636399872449
"13"	120	112.350831385609	111.992812624886	64.4750700694256	37.9183382555284	50.9118961284142	4.48622464426279	9909	0.197484853316327
"14"	130	112.411841959106	112.017008854018	66.2833985854392	39.019115447814	52.3769327642598	4.46885401806942	10515	0.209562340561224
"15"	140	112.383940275155	112.019367062315	68.3056542335303	40.1128346459459	53.8052581219107	4.44852081647334	11121	0.221639827806122
"16"	150	112.466759013331	112.127240307379	69.1182843405865	41.2478318307146	55.3669238879523	4.42999065976055	11777	0.234713807397959
"17"	160	112.325665039599	112.092855083239	71.1373639302139	42.2768057809761	56.699114259564	4.42346856311621	12374	0.246611926020408
"18"	170	112.26909997695	111.987166031502	72.8867661727105	43.3379405968045	58.0775698876017	4.41444487130234	13015	0.259386957908163
"19"	180	112.277486189464	112.09398865851	75.3999637015104	44.3785500644102	59.4805574761672	4.40882115905927	13649	0.272022480867347
"20"	190	112.257854233154	112.083937161173	76.5774230785924	45.4981947658135	61.0222397676919	4.39788168071911	14351	0.286013233418367
"21"	200	112.210683666955	112.082118660637	77.9437570953501	46.5707157070077	62.4195184110273	4.39489259825763	15037	0.299685108418367
"22"	210	112.179042655081	112.078403063554	80.3094607200469	47.6673142852143	63.8389348060642	4.38322973487251	15766	0.314213966836735
"23"	220	112.11751257485	112.051518708038	82.5384456169835	48.7939686476023	65.3811487559498	4.36738643924273	16533	0.329500159438776
"24"	230	112.012399659668	112.017574555838	84.9809843151239	49.9511950829156	66.9324352810098	4.3486386709737	17336	0.345503826530612
"25"	240	111.956930170747	112.018558274852	86.7772653084325	51.0249491690649	68.3453089220424	4.33806708294192	18097	0.36067044005102
"26"	250	112.009670224808	111.911547722825	88.6020894196653	52.1295707217061	69.813989827478	4.33514943136736	18905	0.376773756377551
"27"	260	111.995261085374	111.968161574098	90.2264992352827	53.1337822712491	71.1096534773795	4.3385429924146	19643	0.391481983418367
"28"	270	112.089038641137	112.017661534704	92.1729465124083	54.2404906621933	72.6029430324387	4.33077712108631	20473	0.408023756377551
"29"	280	112.118398707442	112.034976420175	93.6096611323387	55.3790484858151	74.10062175201	4.31592750433194	21353	0.425562021683673
"30"	290	112.045819817347	112.014222291704	95.9160029114559	56.4959825509018	75.6214876446262	4.31437826165197	22228	0.443000637755102
"31"	300	111.946239467648	112.08480434538	97.8218364402926	57.5860132357809	77.0588199323359	4.30391690110366	23105	0.460479113520408
"32"	310	111.919134314094	112.174732498644	99.4000261315214	58.6444893004226	78.4548291600255	4.30683193522808	23961	0.4775390625
"33"	320	111.867963302789	112.212195723816	101.651757724087	59.7508376461262	79.9224159094174	4.30158347399727	24882	0.495894451530612
"34"	330	111.873593952082	112.093369283554	103.51350548225	60.8227165786738	81.3556519233362	4.29983717143522	25794	0.514070471938776
"35"	340	111.877803979839	112.066427048721	104.851238126902	61.9739490245708	82.8766379816386	4.28680231472839	26785	0.533820950255102
"36"	350	111.889604712967	112.052563432136	106.263791566185	63.0608937285064	84.3333734552369	4.28674455502668	27732	0.552694515306122
"37"	360	111.721820128785	112.077976359206	108.395089293024	64.1810449715777	85.8245126310434	4.27525234946049	28730	0.57258450255102
"38"	370	111.807251042684	112.070069325877	110.886400144702	65.2365969104034	87.2538510968072	4.26998618737998	29683	0.591577646683674
"39"	380	111.856659034613	112.043523955414	112.501935381154	66.3138606580946	88.6707292783948	4.2716250570367	30682	0.61148756377551
"40"	390	111.81097237116	112.110362376206	114.201063467407	67.4058484653689	90.1282177194561	4.26758342269602	31706	0.631895727040816
"41"	400	111.841093357979	112.100911099569	117.033536876556	68.4767678474639	91.5750913152668	4.26097583330787	32731	0.652323820153061
"42"	410	111.836792980379	111.971946411766	118.126047379292	69.5751640079762	93.015214959736	4.25799769169305	33791	0.673449457908163
"43"	420	111.840682384119	112.070954554393	119.701342702713	70.6940323012834	94.4896808343291	4.24910419951268	34885	0.695252710459184
"44"	430	111.770354091694	112.085722466596	121.989280064939	71.7350514532547	95.9071887672061	4.25158668299744	35924	0.715959821428571
"45"	440	111.967803760153	112.199836828399	124.673350180749	72.8478157540925	97.4114536494573	4.24513587176512	37057	0.738540338010204
"46"	450	111.972744008736	112.214292179997	125.836978109107	73.9870448133394	98.9315143833603	4.23983888685463	38234	0.761997767857143
"47"	460	112.031209961137	112.292495276233	127.184550427096	75.075798694575	100.382577867507	4.24074779648962	39369	0.784618144132653
"48"	470	112.048639407119	112.190877378931	129.269932565498	76.1510515077602	101.836269123572	4.23794243965049	40514	0.807437818877551
"49"	480	112.023574350273	112.144770939615	130.762764485781	77.257101899557	103.327546855258	4.22432639754531	41716	0.831393494897959
"50"	490	111.914136712872	112.083366064361	132.585131769551	78.2949522924327	104.69437385471	4.20316437972557	42852	0.854033801020408
"51"	500	111.875698023356	111.988435498633	134.576422121651	79.2384888923193	105.944208777927	4.1759103130839	43886	0.874641262755102
"52"	510	111.658624354077	111.979071121249	136.380318471912	80.0780856657278	106.988031030002	4.1538942479457	44784	0.892538265306122
"53"	520	111.548419217338	111.855394195029	138.307560243938	80.8277015078826	107.876917725511	4.13292971834693	45588	0.908561862244898
"54"	530	111.578920972791	111.891731531164	140.743498894896	81.4874695813102	108.629095729726	4.12236341632089	46272	0.92219387755102
"55"	540	111.574718289496	111.776830449953	141.883908175129	82.1195661850747	109.378830622973	4.1059340097195	46916	0.935028698979592
"56"	550	111.499696764465	111.762214903128	143.006600780704	82.6827963613252	109.987960044363	4.09478672985782	47475	0.946169483418367
"57"	560	111.482047488957	111.703593733707	145.297603617589	83.2208814555173	110.580654746876	4.08192349362447	47996	0.956552933673469
"58"	570	111.422663535933	111.653826501703	146.809778601376	83.6923805467229	111.081055564672	4.06850135227202	48437	0.965341996173469
"59"	580	111.366908569765	111.609148393654	148.334171307982	84.1398910544521	111.553717067113	4.05494370522006	48850	0.973573022959184
"60"	590	111.405764465299	111.651716690112	150.511312667972	84.5253529801769	111.913268060756	4.04419417791511	49192	0.980389030612245
"61"	600	111.396432104315	111.631050504583	152.627555564557	84.7933377186258	112.195783771862	4.03682197988953	49427	0.985072544642857
"62"	610	111.395548799911	111.584093030944	153.959935730277	85.0388131232991	112.47411586938	4.0289294492123	49638	0.989277742346939
"63"	620	111.396508800948	111.585303959623	155.585521592522	85.2456748386252	112.661853259272	4.02337067823154	49806	0.992625956632653
"64"	630	111.435190000401	111.591329848522	157.666098496689	85.3944609616836	112.844672154746	4.01714468835123	49928	0.995057397959184
"65"	640	111.461974747576	111.559190576167	157.669861045951	85.5038983834936	112.964789299246	4.01187643706888	50015	0.996791294642857
"66"	650	111.449754363542	111.558376935535	157.690580607038	85.5766859316634	113.039694909031	4.00786835483484	50074	0.997967155612245
"67"	660	111.455304587266	111.530758026219	157.738166150816	85.6290669480626	113.103811631895	4.00466907436598	50117	0.998824139030612
"68"	670	111.463579791372	111.518289885713	157.723498604329	85.654137408397	113.14343409585	4.00311147455971	50137	0.999222735969388
"69"	680	111.480678351379	111.513708600028	157.708168167348	85.6704085751778	113.161648783964	4.00187433949473	50151	0.999501753826531
"70"	690	111.486812200957	111.512111244019	157.702701331344	85.6821267682081	113.168801060712	4.0011961722488	50160	0.99968112244898
"71"	700	111.491367967784	111.508193453212	157.696709619747	85.6845446254826	113.173278574572	4.00111638291934	50162	0.999720982142857
