"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	249.813548909841	250.179149286675	99.5666418152732	64.431744110279	85.2236305171136	125	0.05
"2"	25000	255.240957959632	249.77170114598	115.098197001715	66.3141259976588	87.5030031088638	200	0.08
"3"	50000	254.995751492688	253.27478758579	118.970169933713	69.2035104797701	94.010480028824	289	0.1156
"4"	75000	255.241899146064	254.34480761982	138.206169293577	72.3064144792669	97.0218962837079	361	0.1444
"5"	1e+05	254.588161708214	252.995450631725	139.065904524789	76.7177824040715	103.288742336804	425	0.17
"6"	125000	254.584812681869	253.823026847024	148.10071679055	81.0714944493194	108.772421448049	480	0.192
"7"	150000	253.400953136935	252.476585615122	148.704750738333	84.2261857159394	112.496212916919	522	0.2088
"8"	175000	253.837601509853	253.548351512022	153.31232925058	87.5296815208599	116.875018309544	562	0.2248
"9"	2e+05	255.182798200078	256.191181205078	161.112976806203	91.5570341504542	121.804281396167	611	0.2444
"10"	225000	254.804120049769	254.325971903382	169.324429096289	95.297854937747	127.408417203733	660	0.264
"11"	250000	255.401559829216	254.184973199242	186.390352519708	99.6139862383749	132.956951896224	717	0.2868
"12"	275000	255.640993215856	253.457429503948	197.921106553024	104.259223704943	140.537876737398	780	0.312
"13"	3e+05	252.43834461383	251.31662382147	209.938599099214	108.989290238254	147.4073022945	847	0.3388
"14"	325000	252.580629285291	251.367022357007	216.542865946925	114.629061819384	154.234714594471	937	0.3748
"15"	350000	254.545691751356	252.187406227853	220.907517117538	118.415351894001	157.759772170472	1002	0.4008
"16"	375000	255.189032007314	252.793317473997	221.764813178236	122.633833443916	164.76588521058	1080	0.432
"17"	4e+05	255.268538891866	253.054083999886	223.893373277664	126.84423603419	169.575127773487	1154	0.4616
"18"	425000	255.220037827071	253.115000259068	228.977641678763	131.19824194704	175.910480578979	1230	0.492
"19"	450000	256.249798325859	253.004899452723	231.954411174735	135.56393232092	181.908123660074	1308	0.5232
"20"	475000	255.227746050267	254.440114735102	246.329711259397	139.723900399529	188.259313586171	1389	0.5556
"21"	5e+05	253.793197386005	255.004483356317	250.313873408811	144.420534171574	194.555055834369	1484	0.5936
