"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	111.996984507863	112.080285760047	46.157825506901	27.4020224183691	36.6632994599527	5.68549796156086	3434	0.0684390943877551
"3"	20	112.070930799628	112.089490260344	50.3711513594892	28.1895800232751	37.4662335980601	5.17154811715481	4302	0.0857382015306122
"4"	30	111.913976169793	112.185023889437	51.8510572509919	29.0999958555052	38.7725577542639	4.98598223099704	5065	0.100944674744898
"5"	40	111.983951384562	112.291627916234	54.8758773700996	30.2281832986392	40.2962791467203	4.86569747317411	5778	0.115154655612245
"6"	50	111.957544187124	112.406839586228	56.131560953525	31.5155973147807	42.1710613373855	4.79666512274201	6477	0.129085618622449
"7"	60	112.194307130919	112.244103718663	59.2977360609222	32.903365106127	44.0517226136414	4.77214484679666	7180	0.143096301020408
"8"	70	112.290266800855	112.324147163165	62.5476162959026	34.4596351031952	46.1911799213133	4.73216756824758	7949	0.158422353316327
"9"	80	112.534713128778	112.46149227786	64.4017968759534	36.059358751105	48.3914438066105	4.68940344473594	8767	0.174724968112245
"10"	90	112.780551502504	112.722545273372	66.3451597938657	37.607669870582	50.4356203298293	4.66819699499165	9584	0.191007653061224
"11"	100	112.75980035495	112.638268553338	69.749285502964	39.1663921438163	52.422722441548	4.65176515732924	10424	0.207748724489796
"12"	110	112.855204109346	112.513536416082	72.2138571423996	40.662441511312	54.4866559786113	4.62696369929884	11267	0.224549585459184
"13"	120	112.948802992886	112.343182369777	74.4041649488626	42.3029203937749	56.705274931316	4.58876441246218	12229	0.243722098214286
"14"	130	113.087154920707	112.527937969497	76.9177284719558	43.8525504037168	58.7187392867032	4.56316867744138	13179	0.262655452806122
"15"	140	113.02604721337	112.69164969903	79.3435305236019	45.341392144869	60.6890046292505	4.55081084909001	14121	0.281429368622449
"16"	150	112.897822214915	112.722638386163	81.1228458617019	46.9885622958025	62.8791417294721	4.50808891227147	15206	0.30305325255102
"17"	160	112.953944197805	112.620533505981	84.062773106787	48.5088068346698	64.8991466429663	4.50857072388704	16218	0.323222257653061
"18"	170	112.791388515228	112.737015164975	87.1701924620682	50.141960848209	67.0828769633398	4.50103830179972	17336	0.345503826530612
"19"	180	112.967470849984	112.748150523815	91.0507904204024	51.7795526792805	69.2478856102131	4.48169348741765	18518	0.369060905612245
"20"	190	113.070661732852	112.716849758479	92.6675970385567	53.3316708906976	71.3378460167828	4.47063609091371	19667	0.391960299744898
"21"	200	112.986243526092	112.763009848376	95.3648065541447	54.9691707682596	73.5563775683959	4.45630650021524	20907	0.41667330994898
"22"	210	113.009326853725	112.8718849004	98.177659306296	56.6514423316035	75.8236940128817	4.44012770358379	22239	0.443219866071429
"23"	220	113.084624436808	112.741210792923	100.086516163302	58.2804129191859	77.9659382269166	4.42229858724704	23571	0.469766422193878
"24"	230	113.119626476619	112.739476844518	101.56571017489	59.8474782860292	80.0534020395397	4.41204615817619	24871	0.495675223214286
"25"	240	113.140467904064	112.67001831271	105.051818103936	61.3663866192592	82.0653650637938	4.40093186678888	26184	0.521843112244898
"26"	250	112.964078372017	112.645365959373	107.701259033316	63.0087438214101	84.2805013020135	4.39055654126082	27617	0.550402582908163
"27"	260	112.775607879799	112.630951460713	109.507242850389	64.6205715379826	86.4292152580744	4.38021191688455	29068	0.579320790816326
"28"	270	112.816585110088	112.651896906442	112.120088954992	66.3007631129709	88.6804841574875	4.37142297138377	30612	0.610092474489796
"29"	280	112.910123059196	112.640545576837	114.824652741837	67.97186578548	90.921046080279	4.36076774954966	32198	0.641701211734694
"30"	290	112.926396871807	112.664342942208	118.257559050895	69.6856754526477	93.2154874473449	4.34521454094439	33863	0.674884406887755
"31"	300	112.868034495465	112.564764659334	120.639007741313	71.3073632806125	95.3885065000844	4.31416178458765	35504	0.707589285714286
"32"	310	112.869731937347	112.510829302025	122.557375619671	72.8467170727891	97.4859967823667	4.28533685601057	37093	0.7392578125
"33"	320	112.910321758762	112.535286022591	125.274675218163	74.359017911747	99.5123090023848	4.25113730355666	38688	0.771045918367347
"34"	330	112.84155616729	112.39553736724	128.033244331353	75.6755833819568	101.298686990972	4.22069309399152	40110	0.799386160714286
"35"	340	112.638264998697	112.339576797085	130.014307117723	76.8974378226488	102.888735390131	4.18650774501761	41446	0.82601243622449
"36"	350	112.44845527151	112.227668688981	132.925913762442	77.9377914679634	104.253833884009	4.16371878890377	42573	0.84847337372449
"37"	360	112.365445498349	112.096595931445	136.833661630177	78.8876661717805	105.451663916631	4.14353211009174	43600	0.868941326530612
"38"	370	112.345682360899	112.06302074653	138.133974523567	79.8312986651493	106.653923726726	4.12207099132229	44597	0.888811383928571
"39"	380	112.120697916962	112.146762784885	141.240738462515	80.6172967295637	107.607727556307	4.10833902186599	45413	0.905074139030612
"40"	390	112.120969622123	112.168694521282	144.067481246044	81.3308762736569	108.442608231073	4.09492436392007	46142	0.91960299744898
"41"	400	112.033241795678	112.216141510912	146.670443853608	82.0105704281381	109.236941907797	4.08383872896558	46828	0.93327487244898
"42"	410	111.976463208477	112.15253124167	149.694694776729	82.6103453909602	109.92518222523	4.07313369886124	47420	0.945073341836735
"43"	420	111.926356273277	112.078670192375	152.086635855347	83.1395811421604	110.471965956463	4.06389549684905	47922	0.955078125
"44"	430	111.875726223058	112.048549987831	153.386894562479	83.6518038293501	111.045808912632	4.05268595041322	48400	0.964604591836735
"45"	440	111.779045711932	112.017525801369	156.061764533511	84.0813558940857	111.465883834548	4.04340697626757	48794	0.972456951530612
"46"	450	111.749560236052	111.924002709398	156.150684284386	84.4588383352606	111.862761215202	4.03521341773698	49129	0.979133450255102
"47"	460	111.694481788786	111.860371688136	156.585763734349	84.7913880376598	112.181060711467	4.02695319613914	49419	0.984913105867347
"48"	470	111.646243259308	111.770009190829	156.683704844967	85.0434482443548	112.465418352518	4.02054960109598	49636	0.989237882653061
"49"	480	111.608785040665	111.705586695363	157.907121426517	85.2377959836337	112.670097531601	4.01546277888226	49797	0.992446588010204
"50"	490	111.580680594418	111.633679026187	157.836391794907	85.4225148910307	112.86056072235	4.00956995275086	49948	0.995455994897959
"51"	500	111.563164521544	111.585908146135	157.700929604901	85.5300294726319	112.992390435548	4.00559597090095	50036	0.997209821428571
"52"	510	111.556395105104	111.531112131436	157.702702105895	85.5984818311005	113.061144194463	4.00331383626455	50093	0.998345822704082
"53"	520	111.539970074813	111.505226932668	157.716773228455	85.6392344025665	113.119143725971	4.0020349127182	50125	0.998983577806122
"54"	530	111.516929212363	111.507337986042	157.701971850984	85.6690670704431	113.159499488519	4.001036889332	50150	0.999481823979592
"55"	540	111.51850264181	111.505333466255	157.701667153179	85.6748844444739	113.165928428728	4.00083740404745	50155	0.999581473214286
