"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	111.950925143824	111.862582402707	45.8508067105195	27.4304306676683	36.7387713784009	4.90287648054146	2955	0.0588926977040816
"3"	20	112.026769179331	112.063630638298	48.8784000990446	28.0076818497775	37.2120140383527	4.85592705167173	3290	0.0655691964285714
"4"	30	111.900488975285	112.136683449042	52.4239283795299	28.6247933856917	38.0043442864452	4.80033324076645	3601	0.0717673788265306
"5"	40	111.69782833035	112.366967527487	55.1002788664761	29.3989050218957	38.9212425934627	4.82127333162874	3911	0.077945631377551
"6"	50	111.70453509398	112.500347109208	55.4484515110148	30.187768331019	40.0014383287375	4.8470140375922	4203	0.0837651466836735
"7"	60	111.85837261957	112.613649692848	57.332911958668	31.1054187950249	41.4635565461065	4.83369899078543	4558	0.0908402423469388
"8"	70	111.955386148511	112.850727743778	60.7735735105721	32.0962343551176	42.7981582986088	4.83884128926969	4902	0.0976961096938776
"9"	80	111.762055796828	113.017566182024	64.3844953431462	33.1914957818671	44.3383650894074	4.87009063444109	5296	0.105548469387755
"10"	90	111.679101169284	112.94197504363	66.6416722489777	34.3070431670891	46.014857107385	4.83734729493892	5730	0.114198022959184
"11"	100	111.674732451613	112.646255677419	68.9153279144808	35.5252402209466	47.8254911819835	4.84290322580645	6200	0.123565051020408
"12"	110	111.811503543248	112.473978978711	69.5614183241971	36.741058909844	49.5488860800555	4.82209319636743	6717	0.133868781887755
"13"	120	112.126592908966	112.170697768652	71.8209549954591	37.9965409731794	51.3323987274339	4.7958932238193	7305	0.145587531887755
"14"	130	112.040300656649	111.853770955929	75.3309182785357	39.4119013321841	53.1816589345499	4.74782169465842	7919	0.157824457908163
"15"	140	112.120173171884	111.588043650325	78.4721707643518	40.5702362830658	54.8349628566646	4.73408151210868	8465	0.168706154336735
"16"	150	111.89422471725	111.443222411332	80.6900680637573	41.8886801127239	56.8480512158384	4.71154057318546	9107	0.181501116071429
"17"	160	111.85215721449	111.495100890299	83.6773265724251	43.09748922812	58.4886582685269	4.66987310683586	9772	0.194754464285714
"18"	170	112.080383852177	111.465252750191	84.3598848678426	44.3773644276632	60.1368687958424	4.64572192513369	10472	0.208705357142857
"19"	180	111.988380796127	111.520351093778	86.7224153158408	45.6373746092686	61.8224155963666	4.61466738389815	11154	0.222297512755102
"20"	190	111.941522907192	111.558991081354	88.7170539829361	46.8165452155414	63.4754261863727	4.57655381505811	11874	0.23664700255102
"21"	200	112.009473054035	111.455703570578	90.64693882885	48.0445072976361	65.2861462695996	4.55478854241054	12603	0.251175860969388
"22"	210	111.855510858605	111.422776732636	93.862034673916	49.1819934979146	66.8254171022779	4.53036345849951	13289	0.264847735969388
"23"	220	111.659948894613	111.271611569006	94.0502212738653	50.2644962552305	68.3101695211875	4.50039350361308	13977	0.278559470663265
"24"	230	111.517982295839	111.17812013441	98.1570424298474	51.3972077030492	69.8336521645875	4.49745434797366	14731	0.293586575255102
"25"	240	111.327240302854	111.069367702064	100.482579127962	52.4653301630825	71.29808639955	4.48793114605578	15453	0.307975924744898
"26"	250	111.519625129056	110.928957792527	101.768592903331	53.6631870281913	72.9568077450161	4.47308259587021	16272	0.324298469387755
"27"	260	111.580156562812	110.709479055917	105.098285022092	54.7743679782738	74.5383865859236	4.46071700991609	17043	0.339664381377551
"28"	270	111.571229476228	110.651350387209	107.687043301913	55.8250053806505	75.9380480166971	4.46116668539957	17794	0.354631696428571
"29"	280	111.630797098573	110.539405984662	110.387062405335	56.9591684744187	77.4968176610963	4.45521827737853	18646	0.371611926020408
"30"	290	111.667372874827	110.530099656377	110.644475461839	58.0697454522152	79.1573403471497	4.4481997020905	19469	0.38801419005102
"31"	300	111.738251408624	110.63404354098	110.734386591663	59.2226133676747	80.7417796175008	4.44161463198781	20339	0.405353156887755
"32"	310	111.890110065464	110.493466407903	112.549039973653	60.3520323691965	82.3256470573297	4.43244006970282	21233	0.42317044005102
"33"	320	111.903376520214	110.172717831092	115.174279961252	61.5564720614779	83.9906225735543	4.42011062643342	22237	0.443180006377551
"34"	330	111.97695247889	110.133319655351	116.933953550554	62.7502040590962	85.6540334922435	4.41762881268309	23212	0.462611607142857
"35"	340	112.043912351657	110.151637120486	118.891586463007	64.031315166954	87.4522300157489	4.40741198270537	24285	0.483996332908163
"36"	350	112.298427986985	110.096055231828	120.735383302587	65.2843742708035	89.1806700860699	4.39629264444883	25355	0.505321269132653
"37"	360	112.305569647831	110.077586698211	123.761774777455	66.4811484391464	90.81904687144	4.37421990241688	26439	0.526925223214286
"38"	370	112.435828739146	110.077892379473	125.644872178017	67.6724684330716	92.4319431890911	4.36039963669391	27525	0.548569036989796
"39"	380	112.337630974197	109.984920948918	127.894197248434	68.8242673014721	94.0441364868259	4.34096709905248	28601	0.570013552295918
"40"	390	112.284910916906	110.212646974168	130.86721360121	69.9441517746986	95.5775933014912	4.32010251913803	29653	0.59097975127551
"41"	400	112.38335078147	110.287367192365	132.309458464439	71.0123639960616	97.0140245906693	4.29640718562874	30728	0.612404336734694
"42"	410	112.575489829098	110.364929214517	132.822010034388	72.0235951119672	98.4161571521975	4.26798929302472	31755	0.632872289540816
"43"	420	112.555533732758	110.561063492591	136.590418457493	73.0068051841464	99.7332492437056	4.24239282883103	32798	0.653659119897959
"44"	430	112.618722944063	110.483635881133	139.917862565628	73.9283356368917	100.945159202624	4.2224460772695	33752	0.672672193877551
"45"	440	112.508203366193	110.507958643008	140.970201480163	74.8029095991166	102.118985053688	4.20552014535806	34673	0.691027582908163
"46"	450	112.315096930832	110.562448654946	145.630947721369	75.5977827606512	103.117683709997	4.19082444938258	35551	0.708525988520408
"47"	460	112.251906702463	110.711542352343	147.067653061117	76.4072445771867	104.065307524954	4.1737436910248	36456	0.7265625
"48"	470	112.096422034918	110.840431040098	148.759383298256	77.0867208431607	104.898720589616	4.1593708902547	37259	0.742566167091837
"49"	480	112.056268449359	110.940777605487	150.952503204194	77.7451021487787	105.656203038323	4.14091243561442	38052	0.758370535714286
"50"	490	112.038279404795	110.967037807811	152.079994780323	78.3740571844624	106.429544954149	4.12534158288219	38790	0.773078762755102
"51"	500	112.030250989372	111.036580218685	152.730556007095	79.001439892423	107.126995328823	4.11377093982489	39518	0.787587691326531
"52"	510	111.854584287563	111.124141130147	153.253128670597	79.5571082755999	107.819744521717	4.09842509889782	40193	0.801040338010204
"53"	520	111.73249806338	111.179151717439	156.308873847134	80.0207068714675	108.281186789682	4.08776060829041	40770	0.812539859693878
"54"	530	111.752147039071	111.249015037378	156.980320075461	80.4682617735001	108.774213733194	4.07543244224023	41335	0.823800223214286
"55"	540	111.773673281854	111.290507590777	157.319361705907	80.8816326346361	109.146008308777	4.06888814627393	41894	0.834941007653061
"56"	550	111.733544099287	111.326283343636	157.619732749985	81.2468591156414	109.476526057742	4.061724316927	42382	0.844666772959184
"57"	560	111.718470218834	111.376281347978	157.220972561883	81.565909944431	109.772767992528	4.05203107865326	42859	0.85417330994898
"58"	570	111.643405362623	111.380672794137	157.870593103505	81.8366623822806	110.009862745971	4.04974917354417	43257	0.862105389030612
"59"	580	111.583841662297	111.359658639084	157.843338596529	82.0993275463323	110.272104156766	4.04468480029332	43639	0.869718590561224
"60"	590	111.505110167382	111.292206566028	157.835422853449	82.3460238088464	110.460642234099	4.04034621413481	44019	0.877291932397959
"61"	600	111.46585022459	111.298324246103	157.803359066021	82.5714933395176	110.628035918859	4.03505136060551	44392	0.884725765306122
"62"	610	111.487594821006	111.291499139453	157.823550091498	82.7928999156505	110.793667872267	4.03388542435012	44739	0.891641422193878
"63"	620	111.511101487072	111.290267164702	157.841028142222	82.9613282912645	110.910364797367	4.02845284861398	45057	0.897979113520408
"64"	630	111.53242288217	111.318227594262	157.83630647495	83.1497069492936	111.05363174896	4.02741356133895	45379	0.904396524234694
"65"	640	111.51332588748	111.362518150362	157.791473800759	83.3048735334079	111.1856057111	4.02610428574557	45663	0.910056600765306
"66"	650	111.494315922041	111.391360319499	157.765668106295	83.4444477669892	111.255599514198	4.02224301913074	45947	0.915716677295918
"67"	660	111.553705590318	111.403165364713	157.791263166079	83.5768218100889	111.371707810741	4.02130469612662	46187	0.920499840561224
"68"	670	111.523176352792	111.405496579962	157.768032431734	83.7011692992949	111.45844941625	4.01959475463491	46441	0.925562021683674
"69"	680	111.478546688163	111.393240514194	157.775483874101	83.8073309502089	111.533027506786	4.01765399035886	46675	0.930225605867347
"70"	690	111.448836654151	111.378086163495	157.807204183891	83.9013035845012	111.574836659386	4.01710896834201	46876	0.934231505102041
"71"	700	111.463247627338	111.405125373575	157.777891901014	84.0124325985999	111.638468922341	4.01711288987027	47099	0.938675860969388
