"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	248.170681725837	256.900112630885	105.225989492804	67.5123370544668	86.7395028926914	125	0.05
"2"	25000	245.241247136186	265.841195619866	127.81659997811	69.2852572847346	93.0784148287091	322	0.1288
"3"	50000	247.039903826439	260.150267708633	152.100091845703	80.5613797585845	107.626393624296	501	0.2004
"4"	75000	249.025195824044	262.077044998258	172.041230827255	91.8123893501478	125.294910436176	636	0.2544
"5"	1e+05	255.202035201539	262.690729538849	197.057365206157	104.779956876594	143.57739601526	811	0.3244
"6"	125000	253.584678393747	261.736304872671	215.153096455071	119.606692959324	162.372096471736	1039	0.4156
"7"	150000	253.377377782262	264.617364276462	248.059718637734	132.361694092632	179.069333273559	1261	0.5044
"8"	175000	253.776400996578	265.230151941285	268.711503567507	145.528640775839	196.606834203546	1511	0.6044
"9"	2e+05	251.912276743572	261.654006398228	281.559842110691	158.306306334011	213.49972933954	1782	0.7128
"10"	225000	249.336607126546	256.365126441316	298.759104909994	169.705597463377	229.641695159736	2052	0.8208
"11"	250000	247.570835681709	252.879604876165	310.89382191986	177.508336086883	238.501414847769	2243	0.8972
"12"	275000	248.912535479986	251.887871098604	351.380102349761	184.059990052336	245.572973702222	2383	0.9532
