"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	241.243459697486	255.507253322679	109.925110939059	67.7231690056087	88.5170371796323	125	0.05
"2"	25000	238.128324895163	250.358697248004	132.297835231661	71.9614413577147	94.8582972842596	315	0.126
"3"	50000	241.478723442243	253.474888469224	157.69590825827	83.7725245077975	111.172028745327	452	0.1808
"4"	75000	241.501483119912	252.272481947271	180.611816880643	95.8297256227764	129.125716169396	593	0.2372
"5"	1e+05	238.820118834203	255.609369573246	189.206287178703	106.357808249059	141.596630599538	745	0.298
"6"	125000	239.168265762168	254.169341300527	208.281626723254	117.894044779497	158.824419667603	921	0.3684
"7"	150000	237.554046514649	253.018881086045	241.200156972776	129.317412586534	173.355678479436	1115	0.446
"8"	175000	237.951023466488	251.475580088575	249.037025197161	139.076637132485	185.620719224799	1293	0.5172
"9"	2e+05	237.32549243533	253.757603015384	248.676516544277	149.647596495747	199.716429337221	1502	0.6008
"10"	225000	240.72612809891	254.60679432292	277.129533941038	158.628687091005	213.013276490113	1697	0.6788
"11"	250000	241.988881318341	254.474778068985	276.186569496356	167.177057378594	222.764796773469	1893	0.7572
"12"	275000	243.867320175459	255.536141327489	295.739617497306	175.557676613039	233.223433202766	2095	0.838
"13"	3e+05	247.085997688704	254.315570341559	314.005105174162	182.688228944346	241.652271225428	2267	0.9068
