"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	244.968796305679	247.608817039524	103.935980736054	64.1255724346668	86.5460199136337	125	0.05
"2"	25000	244.516951588016	242.591432933963	124.039159694677	65.2995893511451	89.377329337136	195	0.078
"3"	50000	250.54235605206	242.613157661261	125.494712005665	67.9700607408584	92.5245640469284	282	0.1128
"4"	75000	248.575388222023	242.365808897506	142.696027612031	71.292214927681	97.3422517278141	345	0.138
"5"	1e+05	249.688646527984	241.057945016262	143.951653378885	75.4196140624157	102.036740519763	392	0.1568
"6"	125000	250.996534321032	239.866578767273	145.093891319163	78.8940576245126	106.819081954737	434	0.1736
"7"	150000	249.703189097596	244.960616827553	150.505143730287	84.4313076243651	114.238496690276	492	0.1968
"8"	175000	249.391094911382	247.759317179721	155.898735347195	89.6642940517685	120.797618211509	554	0.2216
"9"	2e+05	250.826154671384	248.217945106994	167.49862221658	93.7155020826962	126.046418661243	603	0.2412
"10"	225000	250.543819854418	249.383952212862	177.519719543739	99.4122275959412	133.635941517604	675	0.27
"11"	250000	254.914363742469	251.487743893902	187.542333900244	104.140744487997	140.644544094397	743	0.2972
"12"	275000	255.521428264103	251.362806168153	204.247879722309	108.320544907948	145.970682449462	804	0.3216
"13"	3e+05	256.594910150218	252.773197116008	205.837088536527	112.741365665652	150.375653275864	878	0.3512
"14"	325000	253.151188228232	252.975613657753	212.975473228397	117.485728797843	156.184006220611	952	0.3808
"15"	350000	252.276273516271	255.077107233451	218.613479119998	122.42572573422	162.019425865473	1033	0.4132
"16"	375000	252.139913740362	255.479534061629	230.352842232597	126.147815003039	167.110978801472	1093	0.4372
"17"	4e+05	254.762224995653	256.134357127801	244.749930855313	130.399592660575	173.327376053815	1167	0.4668
"18"	425000	255.270581311868	256.087020217232	247.487308033699	135.253091879839	178.703560181924	1256	0.5024
"19"	450000	255.777129588305	253.049717295276	263.835006494126	140.380465146281	187.878210299816	1354	0.5416
"20"	475000	255.032769634741	251.04019394896	262.454431632017	146.144878649194	194.378385656258	1464	0.5856
"21"	5e+05	255.706996121134	250.510108575131	267.812208033158	151.165029124455	202.000585416972	1563	0.6252
"22"	525000	255.00088036795	249.845821525271	273.375139282929	155.813635421117	208.211376068873	1660	0.664
"23"	550000	253.934514516788	250.215201337799	281.92450953868	160.17154200327	213.88542255536	1757	0.7028
"24"	575000	252.699495360629	249.12716985544	281.205859409631	163.350300039569	218.526069036076	1831	0.7324
"25"	6e+05	252.976382690405	249.809564128769	292.098201028527	166.560859274304	222.940561697616	1910	0.764
"26"	625000	252.225133480124	249.667747708158	292.808339665271	169.565036096013	227.08628960008	1983	0.7932
"27"	650000	250.835966469573	248.688201552745	294.506134968919	171.575192276864	230.123239005627	2036	0.8144
"28"	675000	250.959588093839	248.587876302135	294.455603339919	174.313585646026	233.348834074414	2106	0.8424
"29"	7e+05	250.918565835315	247.905682196119	301.61533569433	177.369764496086	237.560404421813	2184	0.8736
"30"	725000	249.872421138679	247.209120051655	307.211508175133	179.8546315097	240.340380167347	2244	0.8976
"31"	750000	250.323137016298	247.302782550532	314.121520189794	182.248140060812	242.81399295257	2301	0.9204
