"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	247.615287028889	253.481245614175	102.250881781317	67.2257107861316	90.4189812926784	125	0.05
"2"	25000	249.894173927054	251.965748661067	123.230931812469	70.3451830794089	96.8064103628672	306	0.1224
"3"	50000	245.906902547182	253.910572353438	166.20279539504	82.931238603989	110.521545668695	482	0.1928
"4"	75000	244.732633197717	253.697304560517	174.509640926058	95.5688186056497	128.084776018823	643	0.2572
"5"	1e+05	244.232622702071	252.605714410826	193.777046431398	107.372519624359	141.979703575029	816	0.3264
"6"	125000	246.248365952499	251.210018643229	239.719268403122	119.068443679109	157.947663213589	1009	0.4036
"7"	150000	247.460412987848	247.884188498066	255.674397985781	130.906441213303	173.871725335094	1227	0.4908
"8"	175000	249.041841851815	246.724901988072	268.953201115337	144.006615143401	190.567911370054	1480	0.592
"9"	2e+05	249.890731973313	248.697504065557	290.956936491692	155.929037170923	207.835451425495	1730	0.692
"10"	225000	248.387435496663	248.566953419476	310.924003399149	166.991568333203	222.473465530894	1986	0.7944
"11"	250000	243.871277887614	246.071496941013	317.280611698554	175.513536707755	234.626928525599	2197	0.8788
"12"	275000	243.497618018154	245.606983351541	336.836870271868	182.271866179668	242.783957237067	2353	0.9412
