"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	251.858697949756	246.948249933496	101.259686987859	63.9953996283018	87.5649555948947	125	0.05
"2"	25000	256.346368620013	253.414896066816	140.437822985747	73.0695502509995	98.1030382971657	360	0.144
"3"	50000	255.319651905836	254.467886959453	182.596710556493	91.7192747059071	123.386868465055	571	0.2284
"4"	75000	253.902167995439	257.30634408743	192.31327409989	108.422951565976	147.065952913805	800	0.32
"5"	1e+05	249.979534367595	257.882180733146	226.183883406015	126.353705904092	169.4649639833	1081	0.4324
"6"	125000	248.212219458321	254.919156547158	247.037152268501	142.91694190157	190.759229618084	1382	0.5528
"7"	150000	246.318080984337	255.218628701577	289.509702772185	161.346157557512	214.956736989703	1787	0.7148
"8"	175000	250.32309331131	253.14313654838	295.252625707825	175.179953344008	233.346910491118	2124	0.8496
"9"	2e+05	253.14639060773	251.940513867136	319.490200539197	183.267518766196	242.221754211801	2323	0.9292
