"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	239.595459850009	257.876675234969	112.242131627106	66.0758592848324	87.0809315026917	125	0.05
"2"	25000	240.346841794033	254.008031173645	119.627205534445	67.1096522158084	90.5407775868167	196	0.0784
"3"	50000	238.14289555202	254.851534373178	133.276254068906	70.5894607487176	96.5824051566681	294	0.1176
"4"	75000	238.36489480375	251.603273127346	141.363615043845	75.6680473307178	101.164801267713	379	0.1516
"5"	1e+05	240.981004571409	248.461236490551	153.178097685163	80.59073688999	106.278722951742	445	0.178
"6"	125000	238.521311369601	247.579906088803	158.067649448955	86.9628054470461	114.39384340476	515	0.206
"7"	150000	240.342182869401	244.091935213937	166.445808945564	92.1299165920904	124.193911594961	578	0.2312
"8"	175000	238.274801904897	240.066374611314	174.979831602453	97.8960295678241	131.456360047276	653	0.2612
"9"	2e+05	238.777762945127	240.0747369768	192.183403675229	103.363316133525	138.082979733247	725	0.29
"10"	225000	240.387424974659	239.939569475651	195.130589834197	108.226738288954	144.536772497908	792	0.3168
"11"	250000	241.902414669136	239.166985065315	199.836361775601	114.560850790135	153.338787869797	894	0.3576
"12"	275000	243.693945909127	236.544461275094	237.153641292118	121.617152377356	161.853679101374	1010	0.404
"13"	3e+05	244.497319975636	234.489818045758	236.980810417223	126.829589457993	169.645892262034	1104	0.4416
"14"	325000	244.232021384005	234.209945808723	237.316843710413	131.841372480799	176.491008438077	1197	0.4788
"15"	350000	246.601274209745	235.143625669454	235.373291199346	137.43586185736	182.436813281492	1300	0.52
"16"	375000	246.841805870881	234.887139519782	249.610965700559	143.749344367531	192.371156712197	1423	0.5692
"17"	4e+05	244.284972212887	235.700463257419	256.458929028534	150.220266073191	200.04064994819	1558	0.6232
"18"	425000	244.431784676096	235.714320110597	275.244007278523	156.596092573599	209.480714221077	1701	0.6804
"19"	450000	244.879790678315	239.423430409954	278.761379711724	161.449796238656	214.985070097135	1816	0.7264
"20"	475000	244.177867303823	240.829101973374	279.549161060829	166.689558830341	221.806181006309	1936	0.7744
"21"	5e+05	245.388439851037	241.51562343527	288.05911724991	170.888320854005	227.167511734051	2040	0.816
"22"	525000	245.996004009785	242.610676744961	302.972413924049	175.061688251123	232.364921404997	2142	0.8568
"23"	550000	243.716492087527	244.984585768072	308.631656498956	178.432729769969	237.544463164269	2226	0.8904
"24"	575000	242.445719301504	246.268634291779	314.872830062664	181.657691341945	241.691723063296	2301	0.9204
