"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	246.614716156997	248.613362986236	101.063042279596	68.7172432066493	89.1884322333052	125	0.05
"2"	25000	246.85133518025	240.138476270912	134.042758190464	74.788607688562	98.811625292149	318	0.1272
"3"	50000	246.692977266353	240.905104434119	167.477060046806	87.9674410786478	116.76462131305	496	0.1984
"4"	75000	243.03989474393	239.906130507201	210.334280053084	102.644303356607	136.410480904218	679	0.2716
"5"	1e+05	241.961997119309	238.789937481268	219.165305451735	117.383886810572	155.932739056713	909	0.3636
"6"	125000	239.995801731367	235.738941566384	234.870430334292	131.947003964463	174.774935019894	1167	0.4668
"7"	150000	238.432284485205	237.710015929347	249.022087526059	146.655177415792	195.127157832692	1454	0.5816
"8"	175000	239.902057137633	239.474217942294	274.668967433139	160.893434882214	214.132926994396	1759	0.7036
"9"	2e+05	240.124383048741	238.719007369343	293.398521381172	172.218219208909	229.354580207916	2035	0.814
"10"	225000	242.999031094058	241.123635569798	331.640294463498	181.643543297513	240.051028118886	2261	0.9044
