"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	244.268699179332	236.067650127673	107.498790988084	66.5245677120453	85.95386762508	125	0.05
"2"	25000	244.841739327184	235.23913942477	141.116154782918	72.0417676183778	93.5979953688961	330	0.132
"3"	50000	246.765923245448	237.086348460214	172.563739967329	84.8270295843496	112.209612462363	494	0.1976
"4"	75000	254.803323782902	238.986774180532	187.088133637097	99.8622703345803	132.79089666245	681	0.2724
"5"	1e+05	260.721346409135	240.068041478318	219.961148305395	113.909759929288	155.598489970913	884	0.3536
"6"	125000	259.231180622441	235.54011517293	234.914302146092	127.647870991168	171.423389833609	1119	0.4476
"7"	150000	257.096140365127	232.954748160096	255.947169330693	141.68505062472	191.273024477172	1376	0.5504
"8"	175000	258.576560477583	235.097222984891	278.945371842282	156.929863517808	210.22930963407	1703	0.6812
"9"	2e+05	257.502018007826	235.157519165053	317.155723719708	170.521005759811	228.408556167949	2012	0.8048
"10"	225000	255.126864630607	240.730084812358	328.580588107984	180.10159913823	240.482179929659	2231	0.8924
