"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	260.875326865086	251.642383930708	108.387176052771	65.4903447725489	84.7885662534806	125	0.05
"2"	25000	256.311727143034	250.651223787207	122.153033299453	68.9593763507442	92.2941661027549	285	0.114
"3"	50000	254.733504850906	249.85567546682	146.945107722308	73.5092060451065	99.3855024466185	410	0.164
"4"	75000	253.327820514806	251.09793697427	161.670678105806	82.4726876404384	112.22585677656	510	0.204
"5"	1e+05	250.304066324006	250.882587014371	181.827563307932	92.3472936448743	125.775748405625	628	0.2512
"6"	125000	247.578736593903	248.118157373476	200.357690522848	102.5242078417	139.314385211851	764	0.3056
"7"	150000	249.57055967287	247.827771540769	210.939416064814	112.512573854711	151.99768471726	909	0.3636
"8"	175000	247.499486530298	251.930974541362	225.057138973488	122.970910517965	168.002359579747	1075	0.43
"9"	2e+05	249.239483563532	251.406695863178	241.049777326305	132.242246658802	179.806011828794	1240	0.496
"10"	225000	248.502932313783	251.759893768216	252.193959587624	141.866697776834	193.179556615276	1426	0.5704
"11"	250000	246.051594629869	251.436705127154	267.453807966058	150.971355852713	203.617770429407	1615	0.646
"12"	275000	247.615154432481	251.135993564532	279.133801620026	158.212599818273	212.759878027521	1776	0.7104
"13"	3e+05	251.274514354743	248.521350642102	281.049406526939	165.220791650835	221.221883280115	1939	0.7756
"14"	325000	253.008303841163	250.295289846832	280.516088038701	171.372392785218	229.170124225604	2090	0.836
"15"	350000	252.178630987453	252.668078255587	297.626662720681	176.659001364265	236.196111780384	2219	0.8876
"16"	375000	252.670423767535	252.094500597252	312.6882670037	180.077030995364	241.880807544813	2296	0.9184
