"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	111.875881926864	111.891047855134	45.1144589074338	27.349092970392	36.7163973731473	4.80520393811533	2844	0.0566804846938775
"3"	20	111.954995023772	111.888621236133	46.9790385717272	27.7742549067387	37.1051251712386	4.68019017432647	3155	0.0628786670918367
"4"	30	112.006709666961	111.97944801061	49.8690242447072	28.2316168274615	37.6047251112546	4.65193044503389	3393	0.0676219706632653
"5"	40	111.855794939825	111.796340344639	51.821463060655	28.8378796341093	38.3607430017411	4.63785557986871	3656	0.0728635204081633
"6"	50	111.745288090979	111.707894173269	52.5315933978418	29.4783752338381	39.267182681101	4.63327370304115	3913	0.0779854910714286
"7"	60	111.860231173211	111.723335822693	53.7264770617467	30.0305111207949	40.0337514958366	4.63165502288605	4151	0.0827287946428571
"8"	70	111.92198853087	111.718620752591	55.1726634381075	30.7260324100406	40.9636471989648	4.61153672825597	4438	0.0884486607142857
"9"	80	111.922485726405	111.843319957582	56.9046237817734	31.3796334321017	41.9139245563004	4.59172852598091	4715	0.0939692283163265
"10"	90	112.001999161844	111.929703811614	58.5115523081489	32.0369969111663	43.0113195567044	4.56914787467571	5011	0.0998684630102041
"11"	100	111.943895037453	111.940239981273	60.9205074665479	32.7941003687585	44.1051575519048	4.5434456928839	5340	0.106425382653061
"12"	110	112.030359167842	112.039429742595	62.4716527276606	33.5769414346963	45.2708319942474	4.51375176304654	5672	0.113042091836735
"13"	120	112.124497353969	111.803105341987	65.0129756841446	34.3136892696922	46.2931087498081	4.5115659843568	6009	0.119758450255102
"14"	130	112.041017427451	111.82813094902	65.7957802715434	35.1078630707564	47.3644407252087	4.50133333333333	6375	0.127052774234694
"15"	140	112.153713095238	111.8267540625	66.773453769392	35.7999884176528	48.3950166818689	4.49583333333333	6720	0.133928571428571
"16"	150	112.331563340871	111.8053593697	68.0692485077883	36.6060716885907	49.4635368153484	4.48247597512719	7076	0.141023596938776
"17"	160	112.404777152051	111.942166881201	69.0849584158791	37.4047289144809	50.6729438518138	4.47814427460445	7458	0.148636798469388
"18"	170	112.549148630748	111.976667762069	72.4868401725697	38.1952541101781	51.725811559307	4.47968411667304	7851	0.156469228316327
"19"	180	112.479893526137	112.094388492256	73.4538227045431	38.9786962406341	52.8035251815778	4.46369796708616	8264	0.164700255102041
"20"	190	112.579739016544	112.049186557904	74.0039994618036	39.7755555891001	54.0241559074837	4.45795036764706	8704	0.173469387755102
"21"	200	112.74886681237	112.021721265435	74.9294591928347	40.6475357626972	55.2448444804511	4.45809201180199	9151	0.182378029336735
"22"	210	112.820985435076	112.113630990747	76.0483208552652	41.5039770152793	56.4336106348168	4.44516061960703	9619	0.191705197704082
"23"	220	112.878958014662	112.197045294234	78.3950218138541	42.360223619495	57.685582565884	4.43193976619774	10094	0.201171875
"24"	230	112.878103632761	112.375278882808	78.5582679943363	43.2502402262933	58.9747708340343	4.41271938101529	10598	0.211216517857143
"25"	240	112.877361505183	112.399202866156	79.5276131257509	44.1023888766739	60.1439457555142	4.39639477242001	11095	0.221121651785714
"26"	250	112.878034983612	112.641172114887	81.4555168564275	44.9003633131648	61.2572223375667	4.38830429532517	11594	0.231066645408163
"27"	260	112.764651048028	112.637841970622	82.5207849017395	45.7424387839032	62.5074129808288	4.38009572536722	12118	0.241509885204082
"28"	270	112.744454957664	112.66020508032	84.0629251681935	46.5739699589958	63.699448515483	4.37477249347155	12637	0.251853475765306
"29"	280	112.68204591195	112.634884473744	86.5852277710133	47.4419924393287	64.8532877086185	4.37372130029552	13197	0.26301419005102
"30"	290	112.87989153085	112.69389850844	88.6759902173317	48.2156513413742	65.9282146568993	4.36364959254948	13744	0.273915816326531
"31"	300	112.759959453032	112.563997775757	90.5314662126419	49.0381569386032	67.1158773461008	4.35587885570399	14297	0.284937021683673
"32"	310	112.670434270343	112.534635386685	91.9652987084422	49.8347859814015	68.245774857622	4.34539340954943	14870	0.296356823979592
"33"	320	112.518592131783	112.552176931525	93.1360867267688	50.7182896656483	69.4411457472626	4.33268733850129	15480	0.308514030612245
"34"	330	112.571283444576	112.453718632649	95.4088848812486	51.4708432083724	70.4407272636685	4.33335412638014	16031	0.31949537627551
"35"	340	112.510926170815	112.45939256826	96.7102036971262	52.2331172712593	71.4749055759673	4.32680368874691	16591	0.330656090561224
"36"	350	112.576960972206	112.385148319572	97.6383675588598	53.0917936099029	72.6161428090716	4.31829282474706	17198	0.342753507653061
"37"	360	112.595844996073	112.237330264782	98.1779684723435	53.9560803180965	73.8018387829855	4.31796252664647	17826	0.355269451530612
"38"	370	112.738870544648	112.172171669641	100.732318409038	54.8668884184462	75.0968226212032	4.31315917572611	18489	0.36848294005102
"39"	380	112.703250446872	112.214762713636	102.354778893978	55.7234648776161	76.2083826984425	4.30857680447395	19133	0.381317761479592
"40"	390	112.75454751074	112.132580788476	104.158668252917	56.5892600789332	77.4191132302562	4.30942633308062	19785	0.394312021683673
"41"	400	112.721871786359	112.161615664698	105.682448207815	57.4906835999682	78.6778957489104	4.29741737050237	20483	0.408223054846939
"42"	410	112.768105466056	112.078171788161	106.835626797658	58.3712827732665	79.8664718511385	4.30235744318987	21167	0.421855070153061
"43"	420	112.932242451406	112.105272428539	109.212217668745	59.2523262984348	81.042059060598	4.29764463754859	21865	0.435766103316327
"44"	430	113.011616262684	112.145906673018	110.837535455287	60.0701395724054	82.2179842635429	4.28652457127664	22567	0.449756855867347
"45"	440	113.011492754931	112.185924465644	111.307278339279	60.9449644255703	83.4667823151877	4.28301319238537	23271	0.463787468112245
"46"	450	113.122965517958	112.192874049717	111.894197160636	61.8706837166485	84.732174080979	4.27120053209179	24056	0.479432397959184
"47"	460	113.193468379643	112.241080225027	114.453870145309	62.7219907203061	85.8442908611739	4.26237044803807	24797	0.494200414540816
"48"	470	113.139152306249	112.318308074607	117.426483426024	63.6223751893382	87.1111492193065	4.26558223195433	25574	0.509685905612245
"49"	480	113.253863798946	112.363276445586	118.500591021691	64.5245988431254	88.3040039188452	4.25935332246693	26381	0.525769292091837
"50"	490	113.332149774148	112.48284583646	119.595291886548	65.4381646510405	89.4779113780474	4.25623482674906	27186	0.541812818877551
"51"	500	113.402774241448	112.513322311579	120.160048390613	66.2638496641179	90.5901533272894	4.25153857163303	27948	0.556999362244898
"52"	510	113.502561853821	112.607851441004	121.270815510589	67.1407229062561	91.7863348940232	4.24439578771765	28773	0.573441485969388
"53"	520	113.541328895752	112.636310753445	122.287667186502	68.0038574971896	92.902481587202	4.22761042820478	29612	0.59016262755102
"54"	530	113.528229720285	112.655448797281	122.816503476229	68.8335866471024	94.0002298971477	4.22077751510376	30456	0.606983418367347
"55"	540	113.584471112445	112.597685788934	126.395153979503	69.7134536073058	95.2062803134241	4.21077836664325	31322	0.624242665816326
"56"	550	113.483165682401	112.721371002178	129.317647187857	70.5363988121653	96.3118870837761	4.19316696745286	32138	0.640505420918367
"57"	560	113.275912800759	112.815468654327	129.481817803783	71.3198955480129	97.3310850179851	4.18329790464622	32930	0.656289859693878
"58"	570	113.048827284582	112.761118936479	132.864825470369	72.0408200573733	98.2503589174056	4.170220348043	33674	0.671117665816326
"59"	580	112.953724637292	112.827621625979	134.741079961122	72.8095030832125	99.2560002684395	4.1616870685154	34474	0.687061543367347
"60"	590	112.740129576657	112.765554733979	135.53834301427	73.4516974426405	100.10599184749	4.14976270993776	35189	0.701311383928571
"61"	600	112.537256048153	112.808838436191	135.383426309764	74.0531430856172	100.899545747593	4.13706956642967	35865	0.714783960459184
