"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	24.24	25.696	10.4490198583408	6.60165924932173	8.62960114953177	125	0.05
"2"	25000	24.7761627906977	25.1831395348837	12.2624845323628	7.2337258368888	9.75764060427775	344	0.1376
"3"	50000	24.3248031496063	24.9192913385827	15.0538993284056	8.59965983496919	11.5211976472062	508	0.2032
"4"	75000	24.3212365591398	24.2728494623656	17.6091894684149	10.3944227751544	13.9122714058496	744	0.2976
"5"	1e+05	24.2420443587271	24.25843780135	20.4738235036129	12.1999333281515	16.303119971201	1037	0.4148
"6"	125000	24.0278388278388	24.5904761904762	23.7535111217628	13.9856999057566	18.7021963350449	1365	0.546
"7"	150000	24.0892018779343	24.637323943662	25.7105330492429	15.6041819264718	20.8672544384324	1704	0.6816
"8"	175000	23.9407665505226	24.734693877551	28.2119939698522	16.9072191623227	22.6231429906938	2009	0.8036
"9"	2e+05	24.1089285714286	24.7357142857143	31.5138789982336	17.8883808173235	23.9032932178427	2240	0.896
"10"	225000	24.1813255523135	24.6269278866194	32.9553917819492	18.6074220612474	24.6939902381009	2399	0.9596
