"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	24.824	24.272	10.5864517190605	6.44954069246379	8.38575935738678	125	0.05
"2"	25000	25.2719298245614	24.1359649122807	11.2013224785877	6.36975484909648	8.76923313812087	228	0.0912
"3"	50000	25.1009174311927	24.3394495412844	12.6982154799028	7.04592210527488	9.3967931894664	327	0.1308
"4"	75000	25.245939675174	24.4524361948956	15.3667685160368	7.97614770897898	10.6910087191473	431	0.1724
"5"	1e+05	25.2800718132855	24.2854578096948	15.9562394719833	9.01517486761518	12.0285476553777	557	0.2228
"6"	125000	25.3687230989957	24.4878048780488	17.6399757746419	10.0538653747981	13.5314933942697	697	0.2788
"7"	150000	25.6763285024155	24.3599033816425	18.8612399109166	10.9584999025321	14.6961986593514	828	0.3312
"8"	175000	25.4614594039054	24.1089414182939	20.3662948052219	11.8539990878813	15.8465062584426	973	0.3892
"9"	2e+05	25.5418502202643	24.2308370044053	21.8236972035102	12.7719546517886	16.9958200920009	1135	0.454
"10"	225000	25.4441896024465	24.2010703363914	23.7227705754375	13.7067806573413	18.3086633221364	1308	0.5232
"11"	250000	25.2460106382979	24.0485372340426	24.7191211729974	14.6824231479791	19.6436770312997	1504	0.6016
"12"	275000	25.321819228555	24.2849740932642	26.1943376910449	15.7634722125583	21.0397540094124	1737	0.6948
"13"	3e+05	25.5348717948718	24.1384615384615	26.6272393390527	16.6718076066042	22.3256005276848	1950	0.78
"14"	325000	25.4259346900142	24.1604353999053	28.9722252948171	17.3494014122971	23.2042896390597	2113	0.8452
"15"	350000	25.2236080178174	24.124276169265	30.393264435774	17.9164483944033	23.9309690631447	2245	0.898
"16"	375000	25.0974775545105	24.2650705429671	31.7478681951656	18.3362483029054	24.3695150908414	2339	0.9356
