"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	24.9285714285714	24.2460317460317	10.5695992029814	6.49692928480304	8.69056678940961	126	0.0504
"2"	25000	24.9595015576324	24.3489096573209	12.4027185696138	6.90903495669519	9.28882428391661	321	0.1284
"3"	50000	25.1870967741935	24.7978494623656	13.570309112088	8.17988202044033	10.923022895818	465	0.186
"4"	75000	25.1313628899836	24.9490968801314	16.0360885609564	9.34073443651479	12.4227059861998	609	0.2436
"5"	1e+05	25.0923076923077	24.9333333333333	18.7149368844888	10.6147051785611	14.1838709781122	780	0.312
"6"	125000	25.2650972364381	25.1975435005118	20.0037556883076	11.8508554281354	15.8263603123644	977	0.3908
"7"	150000	25.2704296545914	25.6394271272115	23.120889089895	13.076071506187	17.4465155274948	1187	0.4748
"8"	175000	24.5819327731092	25.7745098039216	26.0527125903934	14.3315842372903	19.1074324118565	1428	0.5712
"9"	2e+05	24.7223862965151	26.044890726521	26.5645675542048	15.5913272298214	20.8457033741898	1693	0.6772
"10"	225000	24.4647452393206	26.0164693772517	28.1791214962816	16.6729273921963	22.3141399100079	1943	0.7772
"11"	250000	24.5362453531599	25.5390334572491	29.7062454001692	17.5317992557665	23.4682822609719	2152	0.8608
"12"	275000	24.5652364273205	25.3104203152364	31.3707687975981	18.0768971696612	24.1353071430489	2284	0.9136
