"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	24.808	25	10.0361777584895	6.52495846198735	8.62211482178241	125	0.05
"2"	25000	25.1566666666667	24.9133333333333	14.4360216895869	6.98572584294046	9.3390964349996	300	0.12
"3"	50000	25.0441176470588	25.2142857142857	16.4079289869774	8.34604147589465	11.1875515691451	476	0.1904
"4"	75000	25.3830104321908	25.1385991058122	17.5378799483244	9.85739410998724	13.1441805927344	671	0.2684
"5"	1e+05	25.7297297297297	25.2331081081081	20.7686505307523	11.3009298548539	15.0453937102206	888	0.3552
"6"	125000	25.866847826087	25.2844202898551	22.7921627401551	12.6359657428531	16.8511407104468	1104	0.4416
"7"	150000	25.6369472182596	25.1640513552068	24.5942323834637	14.2066395728792	18.9541176928952	1402	0.5608
"8"	175000	25.4718768502072	25.1770278271166	26.007650388434	15.5743706683932	20.7884836436533	1689	0.6756
"9"	2e+05	25.0330827067669	24.9273182957393	28.7765980031426	16.9010362151906	22.5526476481751	1995	0.798
"10"	225000	24.9490909090909	24.6872727272727	30.457517792536	17.7337736715963	23.6864063257409	2200	0.88
"11"	250000	24.8676032354193	24.5372498935717	33.0196942197901	18.3919901285708	24.488945775635	2349	0.9396
