"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	25.6	25.584	10.2378247689634	6.54416637669977	8.59331461078902	125	0.05
"2"	25000	25.2649253731343	25.7014925373134	12.189837077644	6.71679869834509	8.99931388315605	268	0.1072
"3"	50000	25.4239631336406	25.5092165898618	13.5214922010554	7.95351858264899	10.6618042242179	434	0.1736
"4"	75000	25.692573402418	26.0310880829016	16.886202557765	9.19724162271176	12.2933545326205	579	0.2316
"5"	1e+05	25.0490716180371	26.4164456233422	19.142720274041	10.4584024420086	13.9619879741549	754	0.3016
"6"	125000	25.3213530655391	26.6448202959831	21.0112984735318	11.7278512913543	15.7005215205551	946	0.3784
"7"	150000	25.5794066317627	26.9441535776614	22.4206629207688	12.856481138866	17.2317713629755	1146	0.4584
"8"	175000	25.5736151603499	26.8848396501458	24.4791758717569	14.0837950268614	18.8056585070873	1372	0.5488
"9"	2e+05	25.4114391143911	26.8062730627306	26.4425887973923	15.2862049104808	20.4838201044584	1626	0.6504
"10"	225000	25.2060511215441	26.6645800730308	28.0353107068544	16.5562692281364	22.1321971304383	1917	0.7668
"11"	250000	24.8515222482436	26.3138173302108	30.8138805446419	17.5045684758477	23.3248149115859	2135	0.854
"12"	275000	24.6748811067877	25.599654128837	33.0399358091468	18.2539893394414	24.2757630512057	2313	0.9252
