"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	24.472	25.424	10.5049778676587	6.62619362752599	8.73169857473333	125	0.05
"2"	25000	24.6805194805195	25.6363636363636	13.1818652676531	7.58465687775713	10.1431577852578	385	0.154
"3"	50000	25.1675041876047	25.5460636515913	17.1832066731785	9.322678318925	12.4887062661823	597	0.2388
"4"	75000	25.1483198146002	25.4159907300116	19.6933715374632	11.1736991370364	14.8728611755159	863	0.3452
"5"	1e+05	25.2855895196507	25.7676855895197	21.6316560729753	12.8153153394441	17.1285196786204	1145	0.458
"6"	125000	24.9768234492161	25.7559645535106	25.74034193491	14.5107420406514	19.3304093531877	1467	0.5868
"7"	150000	24.7754329004329	25.8235930735931	27.5762098674146	16.2586394949223	21.7340116884023	1848	0.7392
"8"	175000	24.5271139705882	25.3331801470588	31.0415263501714	17.6274563015879	23.5638228616298	2176	0.8704
"9"	2e+05	24.4186532831451	24.88791300711	32.9426018909191	18.5744014790135	24.6513294404782	2391	0.9564
