"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	25.488	24.608	10.4092174537762	6.59840928843327	8.66255204890568	125	0.05
"2"	25000	25.1439790575916	25.3115183246073	13.4102591743225	7.53138154381403	10.077317530445	382	0.1528
"3"	50000	25.1771523178808	24.9751655629139	16.9107184070929	9.38531342454113	12.4732380947037	604	0.2416
"4"	75000	24.9170673076923	25.2944711538462	19.8156730590765	11.0244977665148	14.7150771298711	832	0.3328
"5"	1e+05	25.079295154185	25.1955947136564	22.48289724127	12.8176940318748	17.0982277101595	1135	0.454
"6"	125000	25.0967961826858	24.8282208588957	25.6458103640876	14.5154524489127	19.2869486830708	1467	0.5868
"7"	150000	25.0188053097345	24.7920353982301	28.4456751506037	16.1090222830518	21.4467703139089	1808	0.7232
"8"	175000	24.6332563510393	24.986143187067	29.9902340544851	17.6019360108664	23.5243042730202	2165	0.866
"9"	2e+05	24.6230476994512	25.1363444491347	33.4059269458651	18.4684395828853	24.5656970805336	2369	0.9476
