"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	24.456	25.136	10.3843358959541	6.5768885515346	8.87572149179998	125	0.05
"2"	25000	23.9608938547486	24.7430167597765	13.2353207338451	7.45217759489141	10.1174927260575	358	0.1432
"3"	50000	23.7532228360958	24.3646408839779	15.7305386814924	8.94042873068542	11.9566641561933	543	0.2172
"4"	75000	23.8527443105756	24.3681392235609	18.1852889488464	10.4142425600941	13.921872095387	747	0.2988
"5"	1e+05	24.0625	24.5039682539683	22.260675015726	12.0865328040524	16.0777486409671	1008	0.4032
"6"	125000	24.6708365910868	24.5269741985927	23.6413579647018	13.5746581043493	18.1386752277769	1279	0.5116
"7"	150000	25.0220318237454	24.4975520195838	25.8490498860356	15.3138990070791	20.413193572051	1634	0.6536
"8"	175000	25.0442878711626	24.52038248616	29.5387113284725	16.8681450536962	22.5590091587404	1987	0.7948
"9"	2e+05	25.0818869603916	24.9781931464174	29.9684163647499	17.929586716036	23.9992595173609	2247	0.8988
"10"	225000	24.9945606694561	25.0543933054393	33.207860274849	18.5725303295688	24.712989671646	2390	0.956
