"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	112.290164944428	112.03697056173	45.375263048927	27.5086103848809	36.6060888441902	5.64674076299189	3329	0.0663464604591837
"3"	20	112.43153469487	112.05409914904	48.0910538858449	28.0625714292281	37.3969710918436	5.26866034524678	4113	0.0819714604591837
"4"	30	112.376248892569	112.159184868557	50.5211180740321	28.8481940423123	38.5409164935272	5.01759470089008	4831	0.0962810905612245
"5"	40	112.428185654316	112.181622485855	52.2011804051472	29.8580709945317	39.9286034707975	4.90855995619639	5479	0.109195631377551
"6"	50	112.462306197462	112.276946860063	55.5419618288289	30.8806827242598	41.4161741703844	4.83566836986979	6067	0.120914381377551
"7"	60	112.469555268271	112.132132894933	59.7247227143449	32.0718144860678	42.9749925970748	4.78045135256314	6691	0.133350605867347
"8"	70	112.311952992383	112.326329270947	59.9521946852117	33.3758170584497	44.8154606854904	4.7538084874864	7352	0.146524234693878
"9"	80	112.102971391401	112.355772407384	62.9897494382226	34.8114794211692	46.8418031222905	4.71440961466981	8071	0.160853794642857
"10"	90	111.818878367393	112.26351186632	66.0106005026421	36.3434399728272	48.8843637579551	4.67584961047759	8857	0.176518654336735
"11"	100	111.564384989605	112.335042775468	68.1735229444687	37.8101706293112	50.7932205959236	4.65488565488566	9620	0.19172512755102
"12"	110	111.400770700269	112.296684936514	70.5085278889149	39.2466788716548	52.6686513521859	4.6404386302424	10396	0.20719068877551
"13"	120	111.434375531631	112.058149764214	73.8444655224421	40.7510824780994	54.7121764010422	4.62122964676573	11239	0.223991549744898
"14"	130	111.560000627632	112.385832133124	75.4204844822283	42.2341739215836	56.6753551410816	4.59360806012057	12109	0.241330516581633
"15"	140	111.494477379765	112.360548454399	76.6904131091923	43.7610321937253	58.720578170336	4.56270614405155	13037	0.259825414540816
"16"	150	111.602601347187	112.343520845575	78.9107660002266	45.2063283773917	60.6412965152071	4.54245790039412	13955	0.278121014030612
"17"	160	111.686294729793	112.336178664702	81.9239298410443	46.7118135922727	62.6334333620944	4.53023504988951	14933	0.297612404336735
"18"	170	111.56983047067	112.197354779157	85.2128681570072	48.1049057442247	64.4694109350898	4.51464936046878	15871	0.316306600765306
"19"	180	111.448438850792	112.184412786711	87.6454069534712	49.6322999912061	66.5311065914012	4.49444313076377	16916	0.337133290816327
"20"	190	111.212047073876	112.148095137962	89.5083427920726	51.1369606211332	68.4898346525787	4.4956608811749	17976	0.358258928571429
"21"	200	111.023931367124	112.001040387326	92.0734640446298	52.7578275012665	70.7124931879897	4.47262097405648	19157	0.381796077806122
"22"	210	111.050172369458	111.813563684729	95.6113540294103	54.2729979942482	72.7154273222874	4.45852216748768	20300	0.404575892857143
"23"	220	110.933209074469	111.798819335992	97.0429973572163	55.8963963753655	74.8563096173789	4.44468144301215	21566	0.429807079081633
"24"	230	110.861318832449	111.934761892449	98.7437399729618	57.4479147089121	76.9430212635212	4.42065126879081	22817	0.454739317602041
"25"	240	110.836682212518	111.901370031192	100.939201499546	58.9380445739297	78.9645548488173	4.41538781451445	24045	0.479213169642857
"26"	250	110.791540436899	111.756604792433	102.778311553353	60.3770034098695	80.8429305013524	4.40444813803475	25269	0.503607302295918
