"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	25000	24.8254716981132	24.3679245283019	12.5136068696668	6.49199536711622	8.80746779523174	212	0.0848
"2"	50000	25.0334448160535	24.7725752508361	13.4899689390649	6.79850337021763	9.14008396496632	299	0.1196
"3"	75000	25.1409921671018	24.7911227154047	14.1702003869842	7.4689958701204	9.9847564966355	383	0.1532
"4"	1e+05	25.3139013452915	24.5470852017937	14.2329620413288	8.05256338931476	10.7003033125757	446	0.1784
"5"	125000	25.4312977099237	24.5114503816794	15.1666658128694	8.67551619992923	11.5403823002094	524	0.2096
"6"	150000	25.0557432432432	24.4966216216216	16.3324750219993	9.23092286229004	12.3497624364245	592	0.2368
"7"	175000	25.0134128166915	24.7168405365127	16.7869494149719	9.79912038593731	13.099238383192	671	0.2684
"8"	2e+05	25.1007751937984	24.7273901808786	18.2001995167866	10.5256121637769	14.0837923019085	774	0.3096
"9"	225000	25.0786516853933	24.9752808988764	18.5746610487683	11.2858975439985	15.0633885140784	890	0.356
"10"	250000	24.9312436804853	24.8382204246714	19.8974001320256	11.8901670436745	15.9499520639101	989	0.3956
"11"	275000	24.869365225391	25.1379944802208	23.2411114922391	12.4836477426473	16.6796277226438	1087	0.4348
"12"	3e+05	24.6529266281946	25.3569661995054	22.9343606943087	13.1824111226304	17.6581928852276	1213	0.4852
"13"	325000	24.8433283358321	25.3545727136432	23.2516456071781	13.8246376518768	18.4843314106752	1334	0.5336
"14"	350000	24.7103825136612	25.0573770491803	23.848560482361	14.4639827509712	19.318576267246	1464	0.5856
"15"	375000	24.712111604312	25.1769181991122	25.1783752057599	15.0133113151437	20.0794247516489	1577	0.6308
"16"	4e+05	24.5755102040816	25.2221574344023	26.6967711935307	15.6575515711154	20.9289464416347	1715	0.686
"17"	425000	24.5610543302851	25.1678321678322	27.1244669935495	16.2896754567565	21.7746360052044	1859	0.7436
"18"	450000	24.6909547738693	25.2723618090452	28.3689943540583	16.8297330707557	22.5158312023105	1990	0.796
"19"	475000	24.6524013314313	25.0808368996671	29.2805378821566	17.3047218097111	23.1201439044086	2103	0.8412
"20"	5e+05	24.5651183970856	24.9722222222222	30.1869177443327	17.6963645676202	23.6430557045579	2196	0.8784
"21"	525000	24.553500660502	24.7459269044474	30.9833149975446	18.0150585261594	24.0191409663982	2271	0.9084
"22"	550000	24.6044330775789	24.7783461210571	32.9635823371021	18.3492836321001	24.4298877274099	2346	0.9384
"23"	575000	24.5317725752508	24.7408026755853	33.0416095043176	18.564153482323	24.6576315723188	2392	0.9568
"24"	6e+05	24.5686677631579	24.6805098684211	33.7740819988311	18.7640019115957	24.8442741284392	2432	0.9728
